,id,Zone_Name,Region_Name,District_Name,Ward_Name,Establishment_Name,Postal_Address,Street,Year_Started,ISICLev4,ISICLev4_Description,CPC_Code,CPC_Description,Tel_No,Mobile_No,Ownership_Description,Size_Class_Description,Employment,Subsector,Manufacturing_Classification
0,1,Central zone,Dodoma,Chemba ,Churuku,ABAS KISEKU,180,MADUKANI,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
1,2,Central zone,Dodoma,Chemba ,Mrijo,ABAS SALUMU HUSEIN,830,POLISI,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
2,3,Central zone,Dodoma,Chemba ,Mrijo,ABASI IDDI HUNGU,174,CHANG'OMBE B,2013.0,2821,Manufacture of agricultural and forestry machinery,44160,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,,Private,Micro,2,Manufacturing,Assembly
3,4,Central zone,Dodoma,Chemba ,Kimaha,ABBAS KHAMISI ATHUMAN,11,BWAWANI,2012.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",,,Private,Micro,2,Manufacturing,Textile and Apparel
4,5,Central zone,Dodoma,Dodoma Mjini,Kizota,ABC GARAGE,8635,RELINI,2002.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
5,6,Central zone,Dodoma,Kongwa ,Mtanana,ABDALA JUMA ABDALA,,MISHENI,2001.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754514631,,Private,Micro,2,Manufacturing,Agro-Processing
6,7,Central zone,Dodoma,Bahi ,Bahi,ABDALAH AHMED MABROK,,BAHI MISSION,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
7,8,Central zone,Dodoma,Kongwa ,Mkoka,ABDALAH MIRAJI,77,KAMBARAGE,2011.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,782924416,,Private,Micro,2,Manufacturing,Agro-Processing
8,9,Central zone,Dodoma,Kondoa ,Busi,ABDALAH MOHAMED OIL PRESSING,,MIDUWANI,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,,,Private,Micro,2,Manufacturing,Agro-Processing
9,10,Central zone,Dodoma,Kondoa ,Masange,ABDALARAMADHANI NGOZI,6,MAJENGO,2009.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),787278343,,Private,Micro,2,Manufacturing,Agro-Processing
10,11,Central zone,Dodoma,Dodoma Mjini,Chang'ombe,ABDALLA JUMA ABDALLA,2852,HAMVU,2009.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
11,12,Central zone,Dodoma,Dodoma Mjini,Mpunguzi,ABDALLAH ABRI,,NYERERE,2007.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),787699000,,Private,Micro,2,Manufacturing,Agro-Processing
12,13,Central zone,Dodoma,Mpwapwa ,Massa,ABDALLAH ITUJA MILLS,,IKUKA,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),788994444,,Private,Micro,2,Manufacturing,Agro-Processing
13,14,Central zone,Dodoma,Mpwapwa ,Massa,ABDALLAH ITUJAH MILLS,,MASSA,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),788994444,,Private,Micro,2,Manufacturing,Agro-Processing
14,15,Central zone,Dodoma,Kongwa ,Hogoro,ABDALLAH JUMA ABDALLAH,,CHAMWINO,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),754353166,,Private,Micro,2,Manufacturing,Agro-Processing
15,16,Central zone,Dodoma,Dodoma Mjini,Mpunguzi,ABDALLAH MSHAMU,,NYERERE,2003.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),685185548,,Private,Micro,2,Manufacturing,Agro-Processing
16,17,Central zone,Dodoma,Chemba ,Mrijo,ABDI ASLUM MEENA,830,MSUFINI,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
17,18,Central zone,Dodoma,Chemba ,Dalai,ABDI HASSANI MAINGU,82,NJOONI MUONE,2003.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",,,Private,Micro,2,Manufacturing,Textile and Apparel
18,19,Central zone,Dodoma,Chemba ,Mrijo,ABDI SALUM (JUMA MCHAGA),174,MISUFINI,2002.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
19,20,Central zone,Dodoma,Kondoa ,Bumbuta,ABDILAH IJUMAA ISSA,451,MAHONGO KATI,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784781622,,Private,Micro,2,Manufacturing,Agro-Processing
20,21,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ABDILAH RACHA,,MNARANI,1994.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),654433525,,Private,Micro,2,Manufacturing,Agro-Processing
21,22,Central zone,Dodoma,Chemba ,Dalai,ABDISAMADU KHAMISI BASAMU,82,ILOLWI,2007.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
22,23,Central zone,Dodoma,Chemba ,Mrijo,ABDULAHIMAN IDDI HUNGU,174,POLISI,2005.0,2821,Manufacture of agricultural and forestry machinery,44160,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,,Private,Small,5,Manufacturing,Assembly
23,24,Central zone,Dodoma,Kondoa ,Pahi,ABDULKARIMU MOHAMED NGULA,,PAHI MAGHARIBI,2002.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
24,25,Central zone,Dodoma,Dodoma Mjini,Majengo,ABED ATHUMAN,,UMOJA,2007.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
25,26,Central zone,Dodoma,Kondoa ,Pahi,ABEID IDD ABEID,,IKOVO,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,688960132,,Private,Micro,2,Manufacturing,Agro-Processing
26,27,Central zone,Dodoma,Chemba ,Chandama,ABIBU YUSUFU FAITH,,MAGANDI,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
27,28,Central zone,Dodoma,Kondoa ,Chemchem,ABILAHI HUSEIN,,ELBON,2013.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",,,Private,Small,5,Manufacturing,Wood and Woods Products
28,29,Central zone,Dodoma,Kongwa ,Makawa,ABINERI FUNGENI,136,MAKAWA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),789688949,,Private,Micro,2,Manufacturing,Agro-Processing
29,30,Central zone,Dodoma,Kondoa ,Bumbuta,ABOUBAKARI SELEMANI KIDESU OIL MILLS,,MAHONGO KATI,2011.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,,,Private,Micro,2,Manufacturing,Agro-Processing
30,31,Central zone,Dodoma,Dodoma Mjini,Mpunguzi,ABUBAKARI HINTO,,KAWAWA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),787977507,,Private,Micro,2,Manufacturing,Agro-Processing
31,32,Central zone,Dodoma,Chemba ,Churuku,ABUBAKARI HUSEIN MCHANA,180,KITONGOJI A,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
32,33,Central zone,Dodoma,Chemba ,Churuku,ABUSHEE GORONYA HAMISI,180,KWA MSAMI,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
33,34,Central zone,Dodoma,Chemba ,Mrijo,ABUSHIRI SALIMU LWAYO,830,KANDAMIZA,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
34,35,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ABUTWALIBU JUMA ABDALA,,MNARANI,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
