Size_Class_Description,id,Street,Establishment_Name,Tel_No,Ward_Name,Mobile_No,ISICLev4,ISICLev4_Description,CPC_Description,CPC_Code,Year_Started,Postal_Address,District_Name,Manufacturing_Classification,Ownership_Description,Subsector,Region_Name,Zone_Name,Employment
Micro,1,MADUKANI,ABAS KISEKU,Missing,Churuku,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,180,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,2,POLISI,ABAS SALUMU HUSEIN,Missing,Mrijo,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2014.0,830,Chemba ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,3,CHANG'OMBE B,ABASI IDDI HUNGU,Missing,Mrijo,Missing,2821,Manufacture of agricultural and forestry machinery,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,44160,2013.0,174,Chemba ,Assembly,Private,Manufacturing,Dodoma,Central zone,2
Micro,4,BWAWANI,ABBAS KHAMISI ATHUMAN,Missing,Kimaha,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,11,Chemba ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,5,RELINI,ABC GARAGE,Missing,Kizota,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2002.0,8635,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,6,MISHENI,ABDALA JUMA ABDALA,754514631,Mtanana,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2001.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,7,BAHI MISSION,ABDALAH AHMED MABROK,Missing,Bahi,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2013.0,Missing,Bahi ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,8,KAMBARAGE,ABDALAH MIRAJI,782924416,Mkoka,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2011.0,77,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,9,MIDUWANI,ABDALAH MOHAMED OIL PRESSING,Missing,Busi,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,10,MAJENGO,ABDALARAMADHANI NGOZI,787278343,Masange,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,6,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,11,HAMVU,ABDALLA JUMA ABDALLA,Missing,Chang'ombe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,2852,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,12,NYERERE,ABDALLAH ABRI,787699000,Mpunguzi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2007.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,13,IKUKA,ABDALLAH ITUJA MILLS,788994444,Massa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
